in s,C1 in V
-5.9823984E-02,-1.68945E-03
-5.9823056E-02,-1.68945E-03
-5.9822128E-02,-1.39648E-03
-5.9821200E-02,-1.88477E-03
-5.9820272E-02,-1.49414E-03
-5.9819344E-02,-1.98242E-03
-5.9818416E-02,-1.78711E-03
-5.9817488E-02,-1.59180E-03
-5.9816560E-02,-1.98242E-03
-5.9815632E-02,-1.49414E-03
-5.9814704E-02,-1.68945E-03
-5.9813776E-02,-1.68945E-03
-5.9812848E-02,-1.20117E-03
-5.9811920E-02,-1.88477E-03
-5.9810992E-02,-1.29883E-03
-5.9810064E-02,-1.88477E-03
-5.9809136E-02,-1.88477E-03
-5.9808208E-02,-1.39648E-03
-5.9807280E-02,-1.68945E-03
-5.9806352E-02,-1.39648E-03
-5.9805424E-02,-1.29883E-03
-5.9804496E-02,-1.49414E-03
-5.9803568E-02,-1.88477E-03
-5.9802640E-02,-1.78711E-03
-5.9801712E-02,-1.68945E-03
-5.9800784E-02,-1.59180E-03
-5.9799856E-02,-1.29883E-03
-5.9798928E-02,-2.08008E-03
-5.9798000E-02,-1.49414E-03
-5.9797072E-02,-1.68945E-03
-5.9796144E-02,-1.68945E-03
-5.9795216E-02,-1.20117E-03
-5.9794288E-02,-1.49414E-03
-5.9793360E-02,-2.08008E-03
-5.9792432E-02,-1.39648E-03
-5.9791504E-02,-1.88477E-03
-5.9790576E-02,-1.59180E-03
-5.9789648E-02,-1.78711E-03
-5.9788720E-02,-1.68945E-03
-5.9787792E-02,-1.59180E-03
-5.9786864E-02,-1.88477E-03
-5.9785936E-02,-1.20117E-03
-5.9785008E-02,-1.88477E-03
-5.9784080E-02,-1.68945E-03
-5.9783152E-02,-1.78711E-03
-5.9782224E-02,-1.78711E-03
-5.9781296E-02,-1.78711E-03
-5.9780368E-02,-1.49414E-03
-5.9779440E-02,-1.98242E-03
-5.9778512E-02,-1.88477E-03
-5.9777584E-02,-1.20117E-03
-5.9776656E-02,-1.29883E-03
-5.9775728E-02,-1.20117E-03
-5.9774800E-02,-1.29883E-03
-5.9773872E-02,-1.49414E-03
-5.9772944E-02,-1.10352E-03
-5.9772016E-02,-1.98242E-03
-5.9771088E-02,-1.49414E-03
-5.9770160E-02,-1.49414E-03
-5.9769232E-02,-1.29883E-03
-5.9768304E-02,-1.78711E-03
-5.9767376E-02,-1.49414E-03
-5.9766448E-02,-1.59180E-03
-5.9765520E-02,-1.39648E-03
-5.9764592E-02,-1.59180E-03
-5.9763664E-02,-1.59180E-03
-5.9762736E-02,-1.78711E-03
-5.9761808E-02,-1.29883E-03
-5.9760880E-02,-1.78711E-03
-5.9759952E-02,-2.08008E-03
-5.9759024E-02,-1.68945E-03
-5.9758096E-02,-1.49414E-03
-5.9757168E-02,-1.98242E-03
-5.9756240E-02,-1.59180E-03
-5.9755312E-02,-1.39648E-03
-5.9754384E-02,-1.88477E-03
-5.9753456E-02,-1.88477E-03
-5.9752528E-02,-1.88477E-03
-5.9751600E-02,-1.59180E-03
-5.9750672E-02,-1.68945E-03
-5.9749744E-02,-1.49414E-03
-5.9748816E-02,-1.59180E-03
-5.9747888E-02,-1.78711E-03
-5.9746960E-02,-1.59180E-03
-5.9746032E-02,-1.20117E-03
-5.9745104E-02,-1.59180E-03
-5.9744176E-02,-1.78711E-03
-5.9743248E-02,-1.49414E-03
-5.9742320E-02,-1.29883E-03
-5.9741392E-02,-1.59180E-03
-5.9740464E-02,-1.49414E-03
-5.9739536E-02,-1.59180E-03
-5.9738608E-02,-1.68945E-03
