"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
4.480698050E-1,-2.082824707E-2,-3.118743896E-1,-4.974365234E-2,3.165025778E-1
4.505417290E-1,-2.296447754E-2,-3.054809570E-1,-3.376770020E-2,3.081983775E-1
4.530441700E-1,-2.296447754E-2,-3.012237549E-1,-1.353454590E-2,3.024008956E-1
4.555466120E-1,-2.510070801E-2,-2.958984375E-1,3.509521484E-3,2.969818978E-1
4.580185350E-1,-3.361511230E-2,-2.969665527E-1,2.055358887E-2,2.995689557E-1
4.605209770E-1,-4.107666016E-2,-2.969665527E-1,3.866577148E-2,3.022771366E-1
4.630234180E-1,-4.959106445E-2,-2.927093506E-1,5.358886719E-2,3.016783126E-1
4.654953420E-1,-5.918884277E-2,-2.884368896E-1,7.063293457E-2,3.028005447E-1
4.679977840E-1,-6.877136230E-2,-2.852478027E-1,8.447265625E-2,3.053382369E-1
4.705002250E-1,-8.155822754E-2,-2.788543701E-1,9.939575195E-2,3.070684284E-1
4.729721490E-1,-8.900451660E-2,-2.735290527E-1,1.057891846E-1,3.064821336E-1
4.754440730E-1,-9.860229492E-2,-2.639465332E-1,1.153717041E-1,3.044680855E-1
4.779465140E-1,-1.060485840E-1,-2.522277832E-1,1.249542236E-1,3.007967998E-1
4.804184380E-1,-1.177673340E-1,-2.373046875E-1,1.324157715E-1,2.961698773E-1
4.829208790E-1,-1.284332275E-1,-2.223968506E-1,1.388092041E-1,2.919305538E-1
4.854233210E-1,-1.369476318E-1,-2.074890137E-1,1.430664062E-1,2.868350419E-1
4.878952440E-1,-1.454772949E-1,-1.936340332E-1,1.473236084E-1,2.834819708E-1
4.903671680E-1,-1.582489014E-1,-1.829833984E-1,1.547851562E-1,2.872004239E-1
4.928696100E-1,-1.688995361E-1,-1.712646484E-1,1.579742432E-1,2.877750764E-1
4.953720510E-1,-1.774291992E-1,-1.638031006E-1,1.632995605E-1,2.915121318E-1
4.978439750E-1,-1.806182861E-1,-1.552886963E-1,1.611785889E-1,2.876040368E-1
5.003464160E-1,-1.827545166E-1,-1.414337158E-1,1.590423584E-1,2.805301785E-1
5.028183400E-1,-1.816864014E-1,-1.318511963E-1,1.537170410E-1,2.720728121E-1
5.053207820E-1,-1.827545166E-1,-1.222686768E-1,1.462554932E-1,2.640823961E-1
5.078232230E-1,-1.806182861E-1,-1.169433594E-1,1.419982910E-1,2.578026944E-1
5.102951470E-1,-1.838226318E-1,-1.073455811E-1,1.377410889E-1,2.535477101E-1
5.127975880E-1,-1.838226318E-1,-1.041564941E-1,1.345367432E-1,2.504784831E-1
5.152695120E-1,-1.880798340E-1,-1.073455811E-1,1.324157715E-1,2.538326895E-1
5.177719530E-1,-1.880798340E-1,-1.116027832E-1,1.313476562E-1,2.551105877E-1
5.202438770E-1,-1.902160645E-1,-1.201324463E-1,1.292114258E-1,2.594408379E-1
5.227463190E-1,-1.912841797E-1,-1.318511963E-1,1.292114258E-1,2.658382364E-1
5.252487600E-1,-1.955413818E-1,-1.478271484E-1,1.292114258E-1,2.771008668E-1
5.277206840E-1,-1.987304688E-1,-1.627349854E-1,1.313476562E-1,2.884938153E-1
5.302231250E-1,-2.029876709E-1,-1.723327637E-1,1.313476562E-1,2.969087112E-1
5.326950490E-1,-2.019348145E-1,-1.787261963E-1,1.292114258E-1,2.990256094E-1
5.351974910E-1,-2.040557861E-1,-1.840515137E-1,1.324157715E-1,3.050371454E-1
5.376694140E-1,-2.072601318E-1,-1.861724854E-1,1.313476562E-1,3.080083820E-1
5.401718560E-1,-2.072601318E-1,-1.840515137E-1,1.249542236E-1,3.040481540E-1
5.426437800E-1,-2.072601318E-1,-1.755218506E-1,1.270904541E-1,2.998610775E-1
5.451462210E-1,-2.104492188E-1,-1.659393311E-1,1.260223389E-1,2.961526045E-1
5.476486620E-1,-2.136535645E-1,-1.563568115E-1,1.196289062E-1,2.905277497E-1
5.501511040E-1,-2.104492188E-1,-1.510314941E-1,1.164398193E-1,2.840028476E-1
5.526230280E-1,-2.125854492E-1,-1.456909180E-1,1.132354736E-1,2.814972278E-1
5.550949510E-1,-2.125854492E-1,-1.435699463E-1,1.132354736E-1,2.804053765E-1
5.575973930E-1,-2.125854492E-1,-1.435699463E-1,1.057891846E-1,2.774819891E-1
5.600693170E-1,-2.168426514E-1,-1.456909180E-1,1.015167236E-1,2.802716971E-1
5.625717580E-1,-2.189788818E-1,-1.467590332E-1,9.832763672E-2,2.813508284E-1
5.650436820E-1,-2.179107666E-1,-1.456909180E-1,9.619140625E-2,2.792198639E-1
5.675461230E-1,-2.168426514E-1,-1.467590332E-1,9.512329102E-2,2.785810291E-1
5.700485650E-1,-2.147064209E-1,-1.435699463E-1,9.193420410E-2,2.741588491E-1
5.725204890E-1,-2.136535645E-1,-1.361083984E-1,8.872985840E-2,2.684144733E-1
5.750229300E-1,-2.125854492E-1,-1.275939941E-1,7.914733887E-2,2.602635238E-1
5.774948540E-1,-2.115173340E-1,-1.148071289E-1,8.021545410E-2,2.536824363E-1
5.799972950E-1,-2.125854492E-1,-1.009521484E-1,7.595825195E-2,2.472924696E-1
5.824692190E-1,-2.115173340E-1,-8.711242676E-2,6.742858887E-2,2.384843225E-1
5.849716600E-1,-2.072601318E-1,-6.474304199E-2,6.210327148E-2,2.258433972E-1
5.874435840E-1,-2.093811035E-1,-4.449462891E-2,4.931640625E-2,2.196641219E-1
5.899460260E-1,-2.040557861E-1,-2.851867676E-2,4.187011719E-2,2.102502925E-1
5.924179500E-1,-2.029876709E-1,-7.217407227E-3,4.399108887E-2,2.078251703E-1
5.949203910E-1,-1.976623535E-1,9.826660156E-3,4.080200195E-2,2.020687324E-1
5.974228320E-1,-1.934051514E-1,1.942443848E-2,3.973388672E-2,1.983976893E-1
5.998947560E-1,-1.912841797E-1,2.687072754E-2,4.399108887E-2,1.981082767E-1
6.023971980E-1,-1.827545166E-1,3.752136230E-2,4.505920410E-2,1.919307110E-1
6.048691210E-1,-1.742248535E-1,4.179382324E-2,4.826354980E-2,1.855542872E-1
6.073715630E-1,-1.699676514E-1,4.498291016E-2,5.784606934E-2,1.850908762E-1
6.098740040E-1,-1.561279297E-1,5.244445801E-2,7.275390625E-2,1.800541099E-1
6.123459280E-1,-1.433410645E-1,6.202697754E-2,8.021545410E-2,1.755805393E-1
6.148483690E-1,-1.284332275E-1,7.588195801E-2,8.767700195E-2,1.730330089E-1
6.173202930E-1,-1.135101318E-1,9.399414062E-2,1.015167236E-1,1.789555634E-1
6.198227350E-1,-9.539794922E-2,1.089019775E-1,1.111145020E-1,1.825016218E-1
6.222946590E-1,-7.835388184E-2,1.270141602E-1,1.196289062E-1,1.912668369E-1
6.247971000E-1,-6.130981445E-2,1.451263428E-1,1.270904541E-1,2.024167291E-1
6.272690240E-1,-4.533386230E-2,1.589660645E-1,1.356048584E-1,2.138084337E-1
6.297714650E-1,-3.149414062E-2,1.728210449E-1,1.409301758E-1,2.252116980E-1
6.322433890E-1,-1.870727539E-2,1.813354492E-1,1.462554932E-1,2.337160169E-1
6.347458300E-1,-6.988525391E-3,1.845397949E-1,1.505279541E-1,2.382486944E-1
6.372482720E-1,1.541137695E-3,1.834716797E-1,1.515808105E-1,2.379936438E-1
6.397201960E-1,7.934570312E-3,1.813354492E-1,1.537170410E-1,2.378538023E-1
6.422226370E-1,1.219177246E-2,1.749420166E-1,1.547851562E-1,2.339055217E-1
6.446945610E-1,1.644897461E-2,1.664276123E-1,1.505279541E-1,2.250052974E-1
6.471970020E-1,2.391052246E-2,1.621704102E-1,1.462554932E-1,2.196852847E-1
6.496994440E-1,2.603149414E-2,1.536407471E-1,1.430664062E-1,2.115445921E-1
6.521713670E-1,2.603149414E-2,1.323394775E-1,1.345367432E-1,1.905033104E-1
6.546432910E-1,2.603149414E-2,1.206207275E-1,1.270904541E-1,1.771411362E-1
6.571457330E-1,1.965332031E-2,1.003723145E-1,1.153717041E-1,1.541800396E-1
6.596481740E-1,1.431274414E-2,8.013916016E-2,1.036529541E-1,1.317993723E-1
6.621200980E-1,1.112365723E-2,6.523132324E-2,9.193420410E-2,1.132729410E-1
6.646225390E-1,3.662109375E-3,4.711914062E-2,7.702636719E-2,9.036971672E-2
6.670944630E-1,-4.852294922E-3,2.687072754E-2,6.423950195E-2,6.980182215E-2
6.695969050E-1,-9.109497070E-3,7.705688477E-3,5.464172363E-2,5.592922790E-2
6.720688280E-1,-1.550292969E-2,-4.013061523E-3,4.612731934E-2,4.882801533E-2
6.745712700E-1,-1.977539062E-2,-2.000427246E-2,4.187011719E-2,5.044148793E-2
6.770737110E-1,-2.296447754E-2,-3.598022461E-2,3.866577148E-2,5.759327805E-2
6.795456350E-1,-2.510070801E-2,-4.663085938E-2,3.759765625E-2,6.494664228E-2
6.820480760E-1,-2.510070801E-2,-5.195617676E-2,4.293823242E-2,7.192483333E-2
6.845200000E-1,-2.189636230E-2,-5.409240723E-2,4.187011719E-2,7.182301800E-2
6.870224420E-1,-2.296447754E-2,-5.409240723E-2,4.399108887E-2,7.340689101E-2
6.895248830E-1,-1.977539062E-2,-4.663085938E-2,4.719543457E-2,6.923086136E-2
6.919968070E-1,-1.445007324E-2,-3.810119629E-2,5.038452148E-2,6.480050756E-2
6.944992480E-1,-1.124572754E-2,-3.065490723E-2,5.570983887E-2,6.457380174E-2
6.970016900E-1,-1.231384277E-2,-2.212524414E-2,5.784606934E-2,6.314526815E-2
6.995041310E-1,-1.017761230E-2,-1.040649414E-2,6.103515625E-2,6.274686614E-2
7.019760550E-1,-5.920410156E-3,1.312255859E-3,6.423950195E-2,6.452508724E-2
7.044784960E-1,-4.852294922E-3,1.515197754E-2,6.530761719E-2,6.721764688E-2
7.069504200E-1,-1.663208008E-3,2.687072754E-2,7.168579102E-2,7.657450550E-2
7.094528620E-1,1.541137695E-3,4.284667969E-2,7.595825195E-2,8.722309961E-2
7.119247850E-1,6.866455078E-3,6.202697754E-2,8.128356934E-2,1.024768891E-1
7.144272270E-1,1.112365723E-2,8.013916016E-2,8.767700195E-2,1.193033001E-1
7.168991510E-1,1.325988770E-2,1.003723145E-1,9.086608887E-2,1.360407007E-1
7.194015920E-1,1.431274414E-2,1.206207275E-1,9.086608887E-2,1.516933112E-1
7.218735160E-1,1.644897461E-2,1.419219971E-1,9.300231934E-2,1.704753748E-1
7.243759570E-1,1.858520508E-2,1.611022949E-1,9.512329102E-2,1.880101055E-1
7.268783990E-1,2.284240723E-2,1.824035645E-1,9.725952148E-2,2.079717539E-1
7.293808400E-1,2.284240723E-2,2.047729492E-1,9.512329102E-2,2.269409104E-1
7.318527640E-1,2.177429199E-2,2.260742188E-1,8.872985840E-2,2.438373637E-1
7.343246880E-1,2.497863770E-2,2.441864014E-1,8.660888672E-2,2.602922016E-1
7.368271290E-1,3.135681152E-2,2.601623535E-1,7.595825195E-2,2.728321020E-1
7.392990530E-1,3.456115723E-2,2.772064209E-1,6.210327148E-2,2.861724824E-1
7.418014940E-1,3.562927246E-2,2.942504883E-1,5.038452148E-2,3.006516172E-1
7.443039360E-1,3.669738770E-2,3.070373535E-1,3.227233887E-2,3.109021366E-1
7.467758600E-1,4.095458984E-2,3.134307861E-1,1.950073242E-2,3.166960920E-1
